Team,HomeStrength,AwayStrength,BaseStrength,HomeEdge,AwayEdge
Barcelona,0.9742295839519162,0.6765512708018646,0.8253904273768904,0.14883915657502578,-0.14883915657502578
Atletico Madrid,0.6912550763352181,0.4668548895246072,0.5790549829299126,0.11220009340530546,-0.11220009340530546
Real Madrid,0.5343766687349308,0.29155999068780614,0.4129683297113685,0.12140833902356235,-0.12140833902356235
Valencia,0.41699891877255985,0.08949649145220422,0.25324770511238204,0.1637512136601778,-0.1637512136601778
Getafe,0.36592493247924157,0.023674167781143972,0.19479955013019276,0.1711253823490488,-0.17112538234904878
Sevilla,0.3091633601771802,0.008613770437208085,0.15888856530719414,0.15027479486998607,-0.15027479486998604
Espanyol,0.23092930507932558,-0.08710837882078794,0.07191046312926883,0.15901884195005675,-0.15901884195005678
Athletic Bilbao,0.19230391731913232,-0.11841532985083021,0.036944293734151055,0.15535962358498126,-0.15535962358498126
Real Sociedad,0.10252889909766853,-0.2077214470672708,-0.052596273984801135,0.15512517308246968,-0.15512517308246968
Betis,0.05368420682460367,-0.19058187978210012,-0.06844883647874822,0.1221330433033519,-0.1221330433033519
Alaves,0.10602222413530693,-0.24578871222449789,-0.06988324404459548,0.1759054681799024,-0.1759054681799024
Almeria,0.03033918954883988,-0.2461673249983946,-0.10791406772477737,0.13825325727361726,-0.13825325727361726
Leganes,0.04302929685099085,-0.353954148750264,-0.15546242594963658,0.19849172280062743,-0.1984917228006274
Villarreal,-0.022608719928538183,-0.3293945466572158,-0.176001633292877,0.1533929133643388,-0.1533929133643388
Levante,0.004271401402241252,-0.3718266590861778,-0.18377762884196827,0.18804903024420952,-0.18804903024420952
Mallorca,-0.08853595455382096,-0.3356680766004,-0.21210201557711048,0.12356606102328951,-0.12356606102328951
Celta Vigo,-0.10737779589084064,-0.48063711507509305,-0.29400745548296686,0.18662965959212624,-0.18662965959212618
Osasuna,-0.1884198999182085,-0.4090955797506036,-0.29875773983440607,0.11033783991619756,-0.11033783991619756
Granada,-0.3057545399247558,-0.5627888601144311,-0.4342717000195935,0.12851716009483766,-0.1285171600948376
Valladolid,-0.29702032472533396,-0.6629422676744263,-0.47998129619988017,0.1829609714745462,-0.18296097147454615
